subjectID,Sex,Age,Handedness
NDARDT499DWP,0,15.987451,66.67
NDARGH074MU6,1,16.124914,92.27
NDARAC495TJ2,1,16.157198,60
NDARGF367KVL,0,16.349418,73.34
NDARGA507DCC,0,16.365845,81.14
NDARCJ433TCG,0,16.888204,43.35
NDARBH133TK6,0,16.940109,53.34
NDARAV554TP2,0,16.962126,100
NDARKF363RN1,0,17.115902,73.34
NDARTD624AF9,0,17.137577,40.07
NDARLH423CR7,0,17.235911,100
NDARAE270LEZ,0,17.526123,100
NDARMM005DLK,1,17.556696,53.34
NDARRM320RHN,1,17.569815,92.27
NDARAK738BGC,1,17.603239,93.34
NDARRV941EAC,1,17.717773,-77.8
NDARPZ973RK0,0,17.795003,-53.34
NDARLL894HC3,0,17.989276,74.47
NDARJK154PF5,0,18.090691,73.34
NDARYF728BEP,0,18.202943,100
NDARRJ989YPA,0,18.339265,53.34
NDARZP630WYL,0,18.654688,100
NDARCV154DB9,0,18.832648,-66.67
NDARDJ970ELG,0,19.204882,100
NDARKK732JW3,1,19.207164,78.94
NDARAT581NDH,1,19.207734,100
NDARFM948RTJ,0,19.89984,100
NDAREP505XAD,0,20.157768,17.81
NDARUM791WPF,0,20.274811,100
NDARUV578DU2,0,20.877823,70
NDARAA306NT2,1,21.216746,6.67
NDARFN214WHQ,0,21.222792,65.63
NDARTN760YH8,1,21.819644,97.8
P1389,1,3,NaN
P0907,1,3,NaN
P1368,0,3.083333333,NaN
P0982,0,3.25,NaN
P1236,0,3.25,NaN
P0937,0,3.25,NaN
P1126,0,3.333333333,NaN
P1158,0,3.416666667,NaN
P0701,0,3.416666667,NaN
P1599,1,3.416666667,NaN
P1136,1,3.5,NaN
P1391,0,3.5,NaN
P1407,0,3.5,NaN
P0535,1,3.5,NaN
P1082,0,3.583333333,NaN
P1180,0,3.583333333,NaN
P1386,0,3.583333333,NaN
P1176,1,3.583333333,NaN
P1433,1,3.666666667,NaN
P1103,0,3.666666667,NaN
P1078,0,3.75,NaN
P0847,1,3.75,NaN
P0947,0,3.833333333,NaN
P1380,1,3.833333333,NaN
P0707,1,3.833333333,NaN
P0017,1,3.833333333,NaN
P1543,1,3.916666667,NaN
P0067,1,3.916666667,NaN
P1098,0,3.916666667,NaN
P1238,0,3.916666667,NaN
P0675,0,3.916666667,NaN
P0160,0,4.083333333,NaN
P1426,1,4.083333333,NaN
P1501,1,4.083333333,NaN
P1509,0,4.083333333,NaN
P0567,1,4.083333333,NaN
P1165,0,4.166666667,NaN
P1444,1,4.166666667,NaN
P1620,1,4.166666667,NaN
P1528,1,4.25,NaN
P0838,1,4.25,NaN
P0989,1,4.333333333,NaN
P1472,0,4.333333333,NaN
P1390,1,4.416666667,NaN
P0458,1,4.5,NaN
P1367,1,4.5,NaN
P0656,0,4.583333333,NaN
P0709,1,4.583333333,NaN
P1056,0,4.583333333,NaN
P1393,1,4.666666667,NaN
P1128,0,4.75,NaN
P1397,1,4.75,NaN
P1443,0,4.833333333,NaN
P1568,0,4.833333333,NaN
P1135,0,4.833333333,NaN
P1149,0,4.833333333,NaN
P1477,0,4.916666667,NaN
P1643,0,4.916666667,NaN
P1243,0,4.916666667,NaN
P1280,0,5,NaN
P0697,0,5,NaN
P0421,1,5,NaN
P1141,1,5.083333333,NaN
P1496,1,5.083333333,NaN
P1672,1,5.083333333,NaN
P1216,0,5.166666667,NaN
P0529,1,5.166666667,NaN
P1366,0,5.166666667,NaN
P1156,1,5.166666667,NaN
P1177,1,5.25,NaN
P1435,1,5.25,NaN
P1641,1,5.25,NaN
P1654,1,5.25,NaN
P1432,0,5.25,NaN
P0878,1,5.25,NaN
P0964,0,5.333333333,NaN
P1018,1,5.333333333,NaN
P1023,0,5.333333333,NaN
P1024,1,5.333333333,NaN
P0573,1,5.333333333,NaN
P1231,1,5.416666667,NaN
P1530,1,5.416666667,NaN
P0416,1,5.416666667,NaN
P0789,1,5.416666667,NaN
P1416,0,5.5,NaN
P1429,0,5.5,NaN
P1469,1,5.5,NaN
P1611,1,5.583333333,NaN
P1616,0,5.583333333,NaN
P1385,0,5.583333333,NaN
P1125,0,5.666666667,NaN
P1251,1,5.666666667,NaN
P1255,1,5.666666667,NaN
P1413,0,5.75,NaN
P0912,0,5.75,NaN
P0179,0,5.75,NaN
P0237,0,5.833333333,NaN
P1157,1,5.833333333,NaN
P1504,0,5.833333333,NaN
P0208,1,5.833333333,NaN
P1049,0,5.833333333,NaN
P1073,1,5.833333333,NaN
P1575,0,5.916666667,NaN
P1638,0,5.916666667,NaN
P1265,1,5.916666667,NaN
P1630,1,5.916666667,NaN
P1065,1,6,NaN
P1661,0,6,NaN
P1365,0,6,NaN
P0846,1,6,NaN
P0437,0,6.166666667,NaN
P1587,0,6.166666667,NaN
P1606,0,6.166666667,NaN
P0204,1,6.166666667,NaN
P0866,1,6.166666667,NaN
P0934,1,6.25,NaN
P1021,0,6.25,NaN
P1148,1,6.25,NaN
P0979,1,6.416666667,NaN
P1510,1,6.5,NaN
P1645,0,6.5,NaN
P1025,0,6.5,NaN
P1473,1,6.583333333,NaN
P0198,0,6.583333333,NaN
P1683,1,6.666666667,NaN
P1585,0,6.75,NaN
P1624,1,6.75,NaN
P0915,1,6.75,NaN
P0250,0,6.75,NaN
P1536,1,6.833333333,NaN
P1609,1,6.833333333,NaN
P0903,0,6.833333333,NaN
P0360,0,6.833333333,NaN
P1131,1,6.833333333,NaN
P1442,0,6.916666667,NaN
P1470,0,6.916666667,NaN
P1642,0,6.916666667,NaN
P1653,1,6.916666667,NaN
P0897,1,6.916666667,NaN
P1608,0,7,NaN
P1092,1,7,NaN
P0841,0,7,NaN
P1163,0,7,NaN
P1069,0,7.083333333,NaN
P1095,0,7.083333333,NaN
P1254,1,7.083333333,NaN
P1430,0,7.083333333,NaN
P1214,1,7.166666667,NaN
P1384,0,7.166666667,NaN
P1491,1,7.166666667,NaN
P0710,1,7.166666667,NaN
P1573,1,7.166666667,NaN
P1633,1,7.166666667,NaN
P0275,0,7.166666667,NaN
P1669,0,7.166666667,NaN
P1032,1,7.25,NaN
P1272,1,7.25,NaN
P1330,1,7.25,NaN
P1634,0,7.25,NaN
P1409,1,7.333333333,NaN
P1659,0,7.333333333,NaN
P1483,1,7.333333333,NaN
P1273,0,7.416666667,NaN
P0571,0,7.416666667,NaN
P1548,1,7.416666667,NaN
P1676,0,7.416666667,NaN
P0189,0,7.416666667,NaN
P0504,1,7.416666667,NaN
P1451,1,7.416666667,NaN
P1619,1,7.416666667,NaN
P1230,0,7.5,NaN
P1336,0,7.5,NaN
P0079,1,7.5,NaN
P1482,0,7.5,NaN
P1631,1,7.5,NaN
P1271,0,7.5,NaN
P1478,0,7.583333333,NaN
P0797,1,7.583333333,NaN
P1013,0,7.583333333,NaN
P0911,1,7.583333333,NaN
P0478,0,7.666666667,NaN
P1640,1,7.666666667,NaN
P1657,1,7.666666667,NaN
P1658,1,7.666666667,NaN
P0412,1,7.666666667,NaN
P1083,0,7.666666667,NaN
P1179,1,7.666666667,NaN
P0562,0,7.666666667,NaN
P1480,1,7.666666667,NaN
P1249,0,7.75,NaN
P1354,1,7.75,NaN
P1600,1,7.75,NaN
P1607,0,7.75,NaN
P1674,0,7.75,NaN
P1623,1,7.75,NaN
P1693,1,7.75,NaN
P1431,1,7.833333333,NaN
P1342,0,7.916666667,NaN
P1656,1,7.916666667,NaN
P1150,0,7.916666667,NaN
P1612,1,8,NaN
P1694,1,8,NaN
P0432,0,8,NaN
P1192,0,8,NaN
P0812,0,8.083333333,NaN
P0890,0,8.083333333,NaN
P0190,0,8.083333333,NaN
P1223,1,8.166666667,NaN
P1636,0,8.166666667,NaN
P1229,1,8.166666667,NaN
P1458,1,8.166666667,NaN
P1132,0,8.25,NaN
P1168,1,8.25,NaN
P1381,1,8.25,NaN
P1586,1,8.25,NaN
P0774,0,8.25,NaN
P1020,0,8.25,NaN
P1421,1,8.25,NaN
P1579,0,8.333333333,NaN
P0578,0,8.416666667,NaN
P0690,1,8.416666667,NaN
P0887,0,8.416666667,NaN
P1474,1,8.5,NaN
P0514,1,8.5,NaN
P1184,1,8.583333333,NaN
P1195,0,8.583333333,NaN
P1197,0,8.583333333,NaN
P0674,1,8.583333333,NaN
P1670,1,8.583333333,NaN
P1364,0,8.666666667,NaN
P0108,0,8.666666667,NaN
P1286,1,8.666666667,NaN
P1580,1,8.666666667,NaN
P1453,0,8.666666667,NaN
P1613,0,8.75,NaN
P0411,0,8.75,NaN
P1287,1,8.75,NaN
P1439,1,8.75,NaN
P1028,1,8.75,NaN
P1688,1,8.75,NaN
P0460,0,8.833333333,NaN
P1331,1,8.833333333,NaN
P1701,1,8.833333333,NaN
P0879,0,8.833333333,NaN
P1610,1,8.916666667,NaN
P0586,1,8.916666667,NaN
P0676,0,8.916666667,NaN
P1348,1,9,NaN
P1639,1,9,NaN
P1248,0,9.083333333,NaN
P1422,0,9.083333333,NaN
P1569,1,9.083333333,NaN
P0209,1,9.083333333,NaN
P1689,0,9.083333333,NaN
P1046,1,9.166666667,NaN
P1437,0,9.166666667,NaN
P1598,0,9.166666667,NaN
P0802,1,9.166666667,NaN
P0036,0,9.166666667,NaN
P0572,1,9.166666667,NaN
P0853,1,9.166666667,NaN
P0251,0,9.166666667,NaN
P1355,0,9.25,NaN
P1462,1,9.25,NaN
P0457,1,9.333333333,NaN
P1499,0,9.333333333,NaN
P0852,0,9.333333333,NaN
P1438,0,9.416666667,NaN
P1551,1,9.416666667,NaN
P0657,1,9.416666667,NaN
P1525,0,9.416666667,NaN
P0787,1,9.5,NaN
P0659,0,9.583333333,NaN
P1495,0,9.583333333,NaN
P0895,1,9.583333333,NaN
P1481,0,9.583333333,NaN
P1102,0,9.583333333,NaN
P0276,1,9.666666667,NaN
P0431,0,9.666666667,NaN
P0453,1,9.666666667,NaN
P0933,1,9.666666667,NaN
P1190,0,9.75,NaN
P0601,1,9.75,NaN
P0633,0,9.75,NaN
P1545,0,9.75,NaN
P1546,0,9.75,NaN
P1172,0,9.833333333,NaN
P0477,0,9.833333333,NaN
P1428,0,9.833333333,NaN
P0180,0,9.833333333,NaN
P0078,0,9.833333333,NaN
P0992,0,9.833333333,NaN
P1016,1,9.833333333,NaN
P0557,0,9.833333333,NaN
P0588,0,9.833333333,NaN
P1353,0,9.916666667,NaN
P1030,1,10,NaN
P0341,0,10,NaN
P1005,1,10,NaN
P0332,1,10.08333333,NaN
P1320,1,10.16666667,NaN
P0552,1,10.16666667,NaN
P0511,0,10.16666667,NaN
P1321,0,10.25,NaN
P1247,0,10.33333333,NaN
P1591,0,10.33333333,NaN
P0980,1,10.33333333,NaN
P1417,0,10.33333333,NaN
P1106,0,10.41666667,NaN
P0438,0,10.41666667,NaN
P0604,1,10.41666667,NaN
P1220,1,10.41666667,NaN
P1002,0,10.5,NaN
P1383,1,10.5,NaN
P0342,0,10.5,NaN
P1114,0,10.58333333,NaN
P0733,1,10.58333333,NaN
P0765,0,10.58333333,NaN
P0156,1,10.58333333,NaN
P1017,1,10.58333333,NaN
P0348,1,10.66666667,NaN
P0375,0,10.66666667,NaN
P0899,0,10.66666667,NaN
P0973,0,10.66666667,NaN
P1411,0,10.66666667,NaN
P1081,1,10.75,NaN
P0760,1,10.75,NaN
P0625,1,10.75,NaN
P0900,1,10.83333333,NaN
P0299,0,10.83333333,NaN
P0033,1,10.83333333,NaN
P1130,0,10.91666667,NaN
P1232,1,10.91666667,NaN
P1319,0,10.91666667,NaN
P0918,1,11,NaN
P0287,1,11,NaN
P0454,1,11,NaN
P0819,0,11.08333333,NaN
P1306,1,11.16666667,NaN
P1307,0,11.16666667,NaN
P0464,1,11.16666667,NaN
P0516,0,11.16666667,NaN
P1035,1,11.25,NaN
P0772,0,11.25,NaN
P0994,0,11.25,NaN
P0587,0,11.33333333,NaN
P0966,0,11.41666667,NaN
P1199,0,11.41666667,NaN
P1011,1,11.41666667,NaN
P0486,1,11.41666667,NaN
P0871,1,11.41666667,NaN
P1094,0,11.5,NaN
P0419,0,11.5,NaN
P0635,1,11.5,NaN
P0702,0,11.5,NaN
P0436,0,11.58333333,NaN
P0708,0,11.58333333,NaN
P0768,1,11.58333333,NaN
P0107,0,11.58333333,NaN
P1404,0,11.58333333,NaN
P0195,0,11.58333333,NaN
P0619,0,11.58333333,NaN
P0262,0,11.66666667,NaN
P1376,1,11.66666667,NaN
P0579,0,11.66666667,NaN
P0531,1,11.66666667,NaN
P0952,0,11.75,NaN
P0301,0,11.75,NaN
P1357,0,11.75,NaN
P0532,1,11.75,NaN
P0570,0,11.83333333,NaN
P0648,0,11.83333333,NaN
P0805,1,11.83333333,NaN
P0530,0,11.83333333,NaN
P1039,0,11.91666667,NaN
P0749,0,11.91666667,NaN
P0324,0,12,NaN
P0662,1,12,NaN
P1358,0,12.08333333,NaN
P0509,0,12.08333333,NaN
P0556,0,12.08333333,NaN
P1410,0,12.16666667,NaN
P1101,1,12.16666667,NaN
P0712,0,12.25,NaN
P1077,0,12.25,NaN
P0096,1,12.25,NaN
P1356,0,12.33333333,NaN
P0032,0,12.33333333,NaN
P1403,0,12.33333333,NaN
P1171,1,12.41666667,NaN
P1363,0,12.41666667,NaN
P0993,1,12.41666667,NaN
P0886,0,12.41666667,NaN
P0913,0,12.41666667,NaN
P1088,0,12.5,NaN
P1198,1,12.5,NaN
P0732,0,12.5,NaN
P0759,1,12.5,NaN
P0770,1,12.5,NaN
P1396,1,12.58333333,NaN
P0689,0,12.58333333,NaN
P0984,0,12.58333333,NaN
P0806,1,12.58333333,NaN
P0177,1,12.75,NaN
P1015,0,12.75,NaN
P0286,0,12.75,NaN
P0906,1,12.75,NaN
P0378,1,12.83333333,NaN
P1382,1,12.83333333,NaN
P0527,1,12.83333333,NaN
P0372,1,12.83333333,NaN
P0201,1,12.91666667,NaN
P1189,0,12.91666667,NaN
P0170,0,12.91666667,NaN
P0942,0,12.91666667,NaN
P0673,1,13,NaN
P0800,0,13.08333333,NaN
P1019,0,13.16666667,NaN
P0555,1,13.16666667,NaN
P0939,0,13.25,NaN
P0995,0,13.25,NaN
P1027,0,13.33333333,NaN
P0149,0,13.33333333,NaN
P0365,0,13.33333333,NaN
P0745,0,13.5,NaN
P0919,0,13.5,NaN
P0329,0,13.5,NaN
P0171,0,13.5,NaN
P1076,0,13.5,NaN
P1118,0,13.5,NaN
P1085,1,13.58333333,NaN
P0295,1,13.58333333,NaN
P1333,1,13.66666667,NaN
P0091,0,13.66666667,NaN
P0804,1,13.66666667,NaN
P0222,1,13.75,NaN
P0013,0,13.75,NaN
P0053,0,13.75,NaN
P0159,1,13.83333333,NaN
P0110,0,13.83333333,NaN
P0265,0,13.91666667,NaN
P0476,0,13.91666667,NaN
P0688,1,13.91666667,NaN
P0428,0,13.91666667,NaN
P1322,0,14,NaN
P0009,0,14,NaN
P0455,0,14,NaN
P0442,1,14.08333333,NaN
P0433,0,14.08333333,NaN
P1174,0,14.16666667,NaN
P0018,1,14.25,NaN
P0073,0,14.25,NaN
P0519,0,14.25,NaN
P0521,1,14.25,NaN
P0506,0,14.25,NaN
P1022,0,14.33333333,NaN
P0331,0,14.33333333,NaN
P0015,1,14.33333333,NaN
P0039,0,14.33333333,NaN
P0094,0,14.33333333,NaN
P0041,1,14.41666667,NaN
P1200,0,14.5,NaN
P0722,1,14.5,NaN
P0014,1,14.5,NaN
P0074,1,14.5,NaN
P0075,0,14.5,NaN
P1074,0,14.58333333,NaN
P0155,1,14.58333333,NaN
P0057,0,14.58333333,NaN
P0072,0,14.58333333,NaN
P0166,1,14.58333333,NaN
P0182,0,14.66666667,NaN
P0031,0,14.66666667,NaN
P1175,1,14.66666667,NaN
P1127,0,14.75,NaN
P0019,0,14.75,NaN
P0593,1,14.75,NaN
P0470,0,14.75,NaN
P0559,0,14.83333333,NaN
P0016,1,14.83333333,NaN
P0071,1,14.83333333,NaN
P0394,1,14.83333333,NaN
P0901,0,14.83333333,NaN
P1186,0,14.91666667,NaN
P0475,0,14.91666667,NaN
P0769,0,14.91666667,NaN
P0832,1,14.91666667,NaN
P0048,0,14.91666667,NaN
P0077,1,14.91666667,NaN
P0997,1,14.91666667,NaN
P0255,1,14.91666667,NaN
P1129,0,15,NaN
P0435,0,15,NaN
P0022,1,15,NaN
P0034,1,15,NaN
P0058,0,15,NaN
P0061,0,15.08333333,NaN
P0959,0,15.08333333,NaN
P0963,1,15.08333333,NaN
P0991,0,15.08333333,NaN
P1162,1,15.08333333,NaN
P1111,1,15.16666667,NaN
P1138,0,15.16666667,NaN
P0485,1,15.16666667,NaN
P0632,0,15.16666667,NaN
P0965,0,15.25,NaN
P0178,0,15.25,NaN
P1086,1,15.25,NaN
P0753,0,15.33333333,NaN
P0427,0,15.33333333,NaN
P0162,0,15.33333333,NaN
P0536,0,15.33333333,NaN
P0133,0,15.41666667,NaN
P0629,1,15.41666667,NaN
P0040,1,15.5,NaN
P0106,0,15.5,NaN
P0574,1,15.5,NaN
P1146,1,15.58333333,NaN
P0174,0,15.58333333,NaN
P0158,0,15.66666667,NaN
P0010,1,15.66666667,NaN
P0259,1,15.75,NaN
P0640,1,15.75,NaN
P0028,0,15.75,NaN
P1058,0,15.75,NaN
P1108,0,15.83333333,NaN
P0725,1,15.83333333,NaN
P0164,1,15.83333333,NaN
P0658,0,15.91666667,NaN
P1045,1,16,NaN
P0068,0,16,NaN
P0196,1,16,NaN
P0452,1,16,NaN
P0466,1,16,NaN
P0387,1,16.08333333,NaN
P0211,1,16.08333333,NaN
P0090,1,16.08333333,NaN
P0451,0,16.08333333,NaN
P0246,1,16.08333333,NaN
P1119,1,16.08333333,NaN
P0373,1,16.08333333,NaN
P1091,1,16.16666667,NaN
P0951,1,16.25,NaN
P1139,0,16.25,NaN
P1104,1,16.25,NaN
P0368,1,16.25,NaN
P0405,0,16.25,NaN
P1007,1,16.33333333,NaN
P1075,0,16.33333333,NaN
P0310,0,16.33333333,NaN
P0076,0,16.33333333,NaN
P0294,0,16.41666667,NaN
P0323,1,16.41666667,NaN
P0118,1,16.41666667,NaN
P0650,0,16.5,NaN
P1153,1,16.58333333,NaN
P1361,1,16.58333333,NaN
P0443,1,16.75,NaN
P0620,1,16.83333333,NaN
P0696,0,16.83333333,NaN
P0735,0,16.83333333,NaN
P0681,0,16.91666667,NaN
P0296,0,17,NaN
P0151,1,17.08333333,NaN
P0086,0,17.16666667,NaN
P0197,1,17.16666667,NaN
P0972,1,17.25,NaN
P1107,1,17.25,NaN
P0367,0,17.25,NaN
P0569,1,17.25,NaN
P0007,1,17.25,NaN
P0505,1,17.25,NaN
P0123,0,17.33333333,NaN
P0869,1,17.33333333,NaN
P0157,1,17.41666667,NaN
P0011,0,17.41666667,NaN
P0063,1,17.41666667,NaN
P1048,1,17.41666667,NaN
P0282,0,17.41666667,NaN
P0758,0,17.58333333,NaN
P0172,0,17.58333333,NaN
P0210,0,17.66666667,NaN
P0165,0,17.66666667,NaN
P0715,1,17.66666667,NaN
P0085,0,17.75,NaN
P1105,0,17.75,NaN
P1137,1,17.75,NaN
P0035,0,17.83333333,NaN
P0584,0,17.83333333,NaN
P0418,1,17.91666667,NaN
P0465,0,17.91666667,NaN
P0678,0,17.91666667,NaN
P0790,1,18,NaN
P0747,0,18.08333333,NaN
P0289,1,18.08333333,NaN
P0762,1,18.08333333,NaN
P0748,0,18.16666667,NaN
P0923,0,18.16666667,NaN
P0929,1,18.25,NaN
P0679,0,18.25,NaN
P0607,0,18.33333333,NaN
P0703,1,18.33333333,NaN
P0744,1,18.33333333,NaN
P0910,1,18.33333333,NaN
P0128,0,18.33333333,NaN
P0167,0,18.33333333,NaN
P0927,0,18.33333333,NaN
P0928,0,18.33333333,NaN
P0930,1,18.41666667,NaN
P0358,0,18.5,NaN
P0541,0,18.5,NaN
P0136,0,18.5,NaN
P0311,1,18.58333333,NaN
P0815,1,18.58333333,NaN
P0241,0,18.58333333,NaN
P0704,1,18.66666667,NaN
P0410,1,18.75,NaN
P0099,1,18.75,NaN
P0398,1,18.83333333,NaN
P0862,1,18.91666667,NaN
P0851,0,19,NaN
P0111,1,19,NaN
P0434,0,19,NaN
P0876,1,19.08333333,NaN
P0206,0,19.08333333,NaN
P0693,0,19.08333333,NaN
P0792,1,19.08333333,NaN
P0097,1,19.08333333,NaN
P0393,1,19.25,NaN
P0482,0,19.25,NaN
P0548,1,19.25,NaN
P0801,0,19.25,NaN
P0298,1,19.25,NaN
P0554,0,19.25,NaN
P0833,0,19.25,NaN
P0095,1,19.25,NaN
P0100,1,19.25,NaN
P1012,0,19.33333333,NaN
P0713,0,19.33333333,NaN
P0175,0,19.33333333,NaN
P0269,1,19.33333333,NaN
P0664,1,19.33333333,NaN
P0836,1,19.33333333,NaN
P0139,1,19.33333333,NaN
P1246,0,19.41666667,NaN
P0540,0,19.41666667,NaN
P0547,1,19.41666667,NaN
P0564,0,19.41666667,NaN
P1362,0,19.41666667,NaN
P0303,1,19.41666667,NaN
P0150,1,19.41666667,NaN
P0761,1,19.41666667,NaN
P0374,0,19.5,NaN
P0682,1,19.5,NaN
P0814,1,19.5,NaN
P0238,0,19.5,NaN
P0281,1,19.5,NaN
P1191,0,19.5,NaN
P0630,0,19.5,NaN
P1009,1,19.58333333,NaN
P0549,0,19.58333333,NaN
P0577,1,19.58333333,NaN
P0692,0,19.58333333,NaN
P0714,0,19.58333333,NaN
P0791,0,19.58333333,NaN
P0834,0,19.58333333,NaN
P0266,0,19.66666667,NaN
P0392,1,19.66666667,NaN
P0513,1,19.66666667,NaN
P0875,1,19.66666667,NaN
P0926,1,19.75,NaN
P0944,1,19.83333333,NaN
P0377,1,19.83333333,NaN
P0474,1,19.83333333,NaN
P0183,0,19.83333333,NaN
P0576,1,19.83333333,NaN
P0585,0,19.83333333,NaN
P0645,0,19.91666667,NaN
P0203,0,19.91666667,NaN
P0284,1,19.91666667,NaN
P0285,1,19.91666667,NaN
P0293,0,19.91666667,NaN
P0098,1,19.91666667,NaN
P0290,1,20,NaN
P0183,0,19.83333333,NaN
P0576,1,19.83333333,NaN
P0585,0,19.83333333,NaN
P0645,0,19.91666667,NaN
P0203,0,19.91666667,NaN
P0284,1,19.91666667,NaN
P0285,1,19.91666667,NaN
P0293,0,19.91666667,NaN
P0098,1,19.91666667,NaN
P0290,1,20,NaN
P1112,0,20.08333333,NaN
P0837,1,20.08333333,NaN
P0699,1,20.16666667,NaN
P0181,0,20.16666667,NaN
P1161,0,20.25,NaN
P0600,1,20.25,NaN
P0978,1,20.33333333,NaN
P0268,1,20.33333333,NaN
P0409,0,20.33333333,NaN
P0526,0,20.33333333,NaN
P0539,1,20.33333333,NaN
P0561,1,20.33333333,NaN
P0580,1,20.33333333,NaN
P0599,0,20.33333333,NaN
P0316,0,20.33333333,NaN
P0343,1,20.33333333,NaN
P0479,0,20.33333333,NaN
P0924,1,20.33333333,NaN
P0968,1,20.41666667,NaN
P0501,1,20.41666667,NaN
P0782,1,20.41666667,NaN
P0297,0,20.41666667,NaN
P0252,0,20.5,NaN
P0473,0,20.5,NaN
P0142,1,20.5,NaN
P0950,1,20.58333333,NaN
P0533,1,20.58333333,NaN
P0778,1,20.58333333,NaN
P0873,1,20.58333333,NaN
P0921,0,20.58333333,NaN
P0102,1,20.58333333,NaN
P0406,0,20.58333333,NaN
P0481,1,20.66666667,NaN
P0598,0,20.66666667,NaN
P0644,0,20.66666667,NaN
P0863,0,20.66666667,NaN
P0173,1,20.66666667,NaN
P0315,0,20.66666667,NaN
P0283,1,20.66666667,NaN
P0288,0,20.66666667,NaN
P0767,1,20.66666667,NaN
P0302,1,20.75,NaN
P0835,1,20.83333333,NaN
P0383,0,20.83333333,NaN
P0148,0,20.83333333,NaN
P0161,0,20.83333333,NaN
P0242,0,20.83333333,NaN
P0560,1,20.91666667,NaN
P0543,0,21,NaN
P0597,1,21,NaN
P0775,0,21,NaN
P0103,1,21,NaN
P0207,1,21.16666667,NaN
P0271,1,21.16666667,NaN
P0340,0,21.16666667,NaN
P0364,1,21.16666667,NaN
P0335,0,21.25,NaN
P0366,1,21.25,NaN
P0270,1,21.33333333,NaN
P0325,0,21.41666667,NaN
P0125,0,21.5,NaN
P0145,0,21.58333333,NaN
P0163,1,21.58333333,NaN
P0124,0,21.66666667,NaN
