tractIDs,SimpleNonLinInflecX,SimpleNonLinInflecY,SimpleNonLinFastRateX,SimpleNonLinFastRateY,MultInflecX,MultInflecY,MultFastRateX,MultNFastRateY,MultFastRateY
leftArc,11.33165059,0.454430076,19.207164,0.451259762,12.7138393051981,0.445022060286008,6.25,0.428945071943645,-0.000724390277415665
leftAslant,15.77933591,0.45312374,19.207164,0.456345665,6.52030674554193,0.421491180271616,4.083333333,0.408678007162787,-0.00646559209970626
leftCST,11.6090267,0.473858158,19.207164,0.467991941,11.2442444051909,0.49807813016163,3.083333333,0.485366805486242,-0.00784189381333639
leftIFOF,15.76739835,0.506339014,19.207164,0.508400155,13.9025869773634,0.51333777296021,4.083333333,0.460462188848166,-0.00955679286310768
leftILF,14.60445116,0.513263679,19.207164,0.508184534,13.1760018783588,0.50204399896986,4.083333333,0.456733348535517,-0.0106182903147409
leftMDLFang,14.69875991,0.469426953,19.207164,0.474047167,12.9382964465776,0.442865055091996,3.083333333,0.39135633463259,-0.0178690458532236
leftMDLFspl,15.70616652,0.473467755,19.207164,0.474803386,9.59266145912225,0.446123709867173,3.083333333,0.408090645225529,-0.0142727265781074
leftSLF1And2,14.91757164,0.417138177,19.207164,0.422667077,13.3349134829107,0.416649296717155,3.083333333,0.373908523318895,-0.0113938088650141
leftSLF3,14.33991139,0.449572798,19.207164,0.451029956,8.62037704672512,0.422673039543599,3.083333333,0.392900389615203,-0.0125597344638781
leftTPC,11.05530173,0.459237686,19.207164,0.457709947,11.5363707591464,0.44324952651703,3.083333333,0.407951253581054,-0.0122403213015426
leftVOF,11.79408967,0.429663696,19.207164,0.427797623,10.5077434474472,0.383688040161447,3.083333333,0.32324898726244,-0.0285444256849168
leftpArc,11.05582596,0.483058006,19.207164,0.476309871,11.180840877707,0.462744640858153,3.083333333,0.431297444774418,-0.0137406996281169
rightArc,11.05320022,0.436987221,19.207164,0.43532021,8.26046301039425,0.419957552643106,6.25,0.414875010589557,-0.000409594605289387
rightAslant,14.82126233,0.447432254,19.207164,0.450637535,13.6691377574038,0.449056514912283,3.083333333,0.3984597899774,-0.0171663651841262
rightCST,11.05595675,0.472996162,19.207164,0.469125093,9.64463788717895,0.490854131748423,3.083333333,0.481702170696557,-0.00416557993246253
rightIFOF,13.55086748,0.48890908,19.207164,0.493157194,12.750259824546,0.49685538388298,4.083333333,0.4486971868042,-0.00942561419136273
rightILF,11.38792761,0.482539246,19.207164,0.480396535,13.60897173269,0.488397368715786,3.083333333,0.427787234093466,-0.0196085238299032
rightMDLFang,14.23874763,0.450539995,19.207164,0.456735857,7.20744948079402,0.395495593642426,4.083333333,0.37546212481888,-0.0104899056790974
rightMDLFspl,13.88652836,0.455950992,19.207164,0.462871072,11.5705106539487,0.444582151027297,4.083333333,0.397949424790031,-0.0119398794459026
rightSLF1And2,14.92818602,0.423991466,19.207164,0.428812244,11.0572114323245,0.417450926916338,3.083333333,0.378488707597905,-0.0119878705359043
rightSLF3,14.554007,0.445646651,19.207164,0.454770432,11.4632667553413,0.433633187281123,4.083333333,0.396440444083687,-0.00859283790696685
rightTPC,15.36080823,0.452806901,19.207164,0.451421455,13.6803979121444,0.446219232489307,3.083333333,0.398617367082572,-0.0153491435640957
rightVOF,11.17951627,0.420974747,19.207164,0.421972387,10.164236860222,0.387917317907603,3.083333333,0.342143767892833,-0.0229905776222453
rightpArc,11.22813982,0.474681102,19.207164,0.475487809,14.0110931348915,0.45948936692473,3.083333333,0.408794294835318,-0.0152871761752318
